Posted_On,BHK,Rent,Size_,Floor_,Area_Locality,City,Furnishing,Tenant_Preferred,Bathroom,Point_of_Contact
2022-06-13,4,35000,1600,1 out of 5,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-14,3,21000,1450,Ground out of 1,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner
2022-07-06,2,25000,1100,2 out of 2,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent
2022-06-16,2,180000,950,Ground out of 1,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-06,1,6000,600,8 out of 5,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,14000,700,Ground out of 2,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,3,8000,750,Ground out of 2,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner
2022-05-04,2,8000,1000,Ground out of 1,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-25,1,6000,220,Ground out of 2,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-21,1,8000,300,1 out of 3,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-06-27,1,6000,300,Ground out of 1,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-07-02,1,20000,700,1 out of 2,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-06,3,12000,800,Ground out of 1,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,3,15000,1600,1 out of 3,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,2,14000,1000,1 out of 3,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-30,1,5000,20,2 out of 3,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-10,2,7000,400,Ground out of 2,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-23,1,3900,200,2 out of 2,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-09,3,14000,840,1 out of 4,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-19,1,6300,300,1 out of 1,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-07-03,2,13000,550,1 out of 2,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
2022-07-03,1,6800,300,1 out of 2,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-14,2,8000,800,1 out of 1,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,10000,740,Ground out of 6,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-25,2,18000,1300,1 out of 1,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-13,2,8000,650,Ground out of 1,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,2,8000,490,1 out of 1,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,1,4700,250,2 out of 2,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,1,4700,250,Ground out of 1,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,1,4500,450,1 out of 2,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-30,1,6000,300,Ground out of 1,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-24,2,16000,750,1 out of 3,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-01,1,4700,250,1 out of 2,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-17,2,14000,751,3 out of 3,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-26,2,9000,900,Ground out of 2,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-06-23,2,5000,400,1 out of 3,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-13,2,17500,1000,Ground out of 2,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-11,2,8500,1000,Ground out of 1,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-26,3,15000,1500,1 out of 1,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-04-25,2,12500,750,1 out of 3,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-11,1,13000,1200,2 out of 4,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,2,8000,700,Ground out of 1,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-10,2,8000,700,4 out of 4,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-21,2,8000,1000,Ground out of 2,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-12,2,7000,1200,1 out of 3,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-05,2,2200,550,2 out of 3,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-25,2,8000,800,Ground out of 4,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-11,2,5500,280,1 out of 3,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-04,3,20000,1100,Ground out of 2,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-10,2,7000,950,Ground out of 2,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-13,1,3500,250,1 out of 2,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-10,2,5000,1000,Ground out of 2,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-30,3,20000,1000,Ground out of 2,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-27,2,7000,650,Ground out of 2,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-08,2,10000,700,1 out of 2,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,2,7000,700,Ground out of 3,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-29,3,12000,1000,Ground out of 3,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-13,2,14500,900,1 out of 4,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-05-25,1,6000,700,1 out of 2,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,9500,700,1 out of 2,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-27,2,10000,450,2 out of 1,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-06,1,3500,120,Ground out of 3,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-01,2,9000,800,1 out of 2,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-07,3,40000,1220,2 out of 3,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-23,3,16500,1100,Ground out of 3,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-12,3,8000,700,Ground out of 3,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner
2022-05-10,2,12000,800,Ground out of 3,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-27,2,6500,670,2 out of 2,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner
2022-04-30,4,40000,1300,1 out of 2,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-06,1,5000,190,Ground out of 2,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,9000,700,Ground out of 2,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-17,1,7000,240,Ground out of 4,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-19,2,18000,850,2 out of 4,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner
2022-05-26,1,9000,950,1 out of 2,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-11,1,5500,450,1 out of 2,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,2,7500,800,Ground out of 2,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-02,2,4000,600,1 out of 2,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-30,3,10500,800,2 out of 2,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-07-03,3,15000,1100,Ground out of 2,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-16,2,15000,800,Ground out of 2,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-13,1,50000,2200,2 out of 5,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
2022-06-08,2,12000,950,1 out of 1,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-04-25,2,11000,550,2 out of 3,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-04,2,12000,1800,1 out of 1,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-05-11,2,8000,1000,Ground out of 2,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,2,18000,600,Ground out of 3,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-24,2,8000,750,2 out of 4,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,7000,685,2 out of 3,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-24,1,6500,44,Ground out of 1,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-10,4,13000,1200,Ground out of 2,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,9000,500,Ground out of 2,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-29,4,10000,1110,2 out of 2,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-05,2,12000,1000,1 out of 3,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-26,2,5000,392,Ground out of 2,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-09,2,6000,700,1 out of 2,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-19,1,5200,750,2 out of 4,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,3,15000,1500,1 out of 2,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner
2022-04-29,2,9000,900,Ground out of 1,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-03,1,24000,710,1 out of 1,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent
2022-05-26,1,5500,400,Ground out of 3,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-24,1,10000,700,1 out of 2,Garia,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-03,2,15000,1000,Ground out of 2,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-12,1,4700,250,1 out of 2,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,5000,500,Ground out of 3,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-20,2,5000,450,2 out of 2,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-27,3,15000,1400,1 out of 3,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,5000,500,1 out of 1,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-17,2,6000,700,Ground out of 1,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-04,3,18000,1200,1 out of 3,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-21,2,8000,450,1 out of 2,Andul,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-23,1,13000,500,2 out of 2,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors,1,Contact Agent
2022-07-02,2,7500,400,Ground out of 1,locality,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-24,3,12000,1000,Ground out of 1,Khardah,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-04,2,11000,750,Ground out of 1,Parnasree Pally,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-24,1,6000,450,Ground out of 2,Baghajatin,Kolkata,Unfurnished,Family,1,Contact Owner
2022-06-19,3,20000,1000,1 out of 2,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-07-03,2,7000,500,1 out of 1,sarsuna banerjee para,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-19,4,30000,1600,Ground out of 1,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-07-02,2,7500,550,Ground out of 1,Near Seven Tanks Road Dumdum Station,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-21,1,6500,550,1 out of 2,Jyangra,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-04,1,3000,200,2 out of 3,Barasat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-30,2,5200,650,1 out of 2,Sukchar,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-22,2,25000,1000,1 out of 1,"Tagore Park, Kasba",Kolkata,Furnished,Bachelors/Family,2,Contact Owner
